sku,name,category,case_size,shelf_life_days
OTK-DEMO-MIX-009,Ottogi Beef Stock Powder,Mix & Powder,12,365
OTK-DEMO-MIX-010,Ottogi Anchovy Stock Powder,Mix & Powder,12,365
OTK-DEMO-MIX-011,Ottogi Kimchi Seasoning Powder,Mix & Powder,12,365
OTK-DEMO-MIX-012,Ottogi Curry Flake,Mix & Powder,12,365
OTK-DEMO-SOU-001,Ottogi Seaweed Soup,Soup & HMR,12,365
OTK-DEMO-SOU-002,Ottogi Beef Bone Soup,Soup & HMR,12,365
OTK-DEMO-SOU-003,Ottogi Dried Pollack Soup,Soup & HMR,12,365
OTK-DEMO-SOU-004,Ottogi Soybean Paste Stew,Soup & HMR,12,365
OTK-DEMO-SOU-005,Ottogi Kimchi Stew,Soup & HMR,12,365
OTK-DEMO-SOU-006,Ottogi Rice Cake Soup Bowl,Soup & HMR,12,240
OTK-DEMO-SOU-007,Ottogi Beef Bulgogi Bowl,Soup & HMR,12,240
OTK-DEMO-SOU-008,Ottogi Pork Kimchi Bowl,Soup & HMR,12,240
OTK-DEMO-SOU-009,Ottogi Spicy Chicken Bowl,Soup & HMR,12,240
OTK-DEMO-SOU-010,Ottogi Japchae Bowl,Soup & HMR,12,240
OTK-DEMO-FRZ-001,Ottogi Mandu Tray Original,Frozen,8,540
OTK-DEMO-FRZ-002,Ottogi Kimchi Mandu Tray,Frozen,8,540
OTK-DEMO-FRZ-003,Ottogi Vegetable Mandu Tray,Frozen,8,540
OTK-DEMO-FRZ-004,Ottogi Frozen Cheese Pizza,Frozen,8,540
OTK-DEMO-FRZ-005,Ottogi Frozen Bulgogi Pizza,Frozen,8,540
OTK-DEMO-FRZ-006,Ottogi Shrimp Fried Rice,Frozen,12,540
OTK-DEMO-FRZ-007,Ottogi Kimchi Fried Rice,Frozen,12,540
OTK-DEMO-FRZ-008,Ottogi Curry Fried Rice,Frozen,12,540
OTK-DEMO-SNK-001,Ottogi Ppushu Ppushu Bulgogi Snack Noodle,Snacks,12,300
OTK-DEMO-SNK-002,Ottogi Ppushu Ppushu Tteokbokki Snack Noodle,Snacks,12,300
OTK-DEMO-TEA-001,Ottogi Barley Tea,Beverage,20,540
OTK-DEMO-TEA-002,Ottogi Corn Tea,Beverage,20,540
OTK-DEMO-TEA-003,Ottogi Honey Citron Tea,Beverage,12,540
OTK-DEMO-TEA-004,Ottogi Jujube Tea,Beverage,12,540
OTK-DEMO-TEA-005,Ottogi Ginger Tea,Beverage,12,540
OTK-DEMO-CAN-001,Ottogi Hot Pepper Tuna,Canned,24,540
OTK-DEMO-CAN-002,Ottogi Vegetable Tuna,Canned,24,540
OTK-DEMO-CAN-003,Ottogi Light Tuna,Canned,24,540
OTK-DEMO-SEA-001,Ottogi Roasted Seaweed Snack,Seaweed,24,300
OTK-DEMO-SEA-002,Ottogi Seaweed Crisps,Seaweed,24,300
