lot_id,sku,warehouse,quantity_on_hand,received_date,expiration_date,unit_cost
OTG-LOT-00028,OTG-RAM-005,Seattle DC,1440,2026-04-11,2027-01-06,14.87
OTG-LOT-00029,OTG-RAM-005,Seattle DC,1440,2026-05-03,2027-01-28,19.88
OTG-LOT-00030,OTG-RAM-005,LA DC,720,2025-09-25,2026-06-22,20.35
OTG-LOT-00031,OTG-RAM-006,LA DC,480,2026-01-29,2026-10-26,18.09
OTG-LOT-00032,OTG-RAM-006,Seattle DC,360,2026-05-07,2027-02-01,18.08
OTG-LOT-00033,OTG-RAM-006,Dallas DC,480,2026-01-18,2026-10-15,20.21
OTG-LOT-00034,OTG-RAM-006,LA DC,720,2026-01-23,2026-10-20,18.21
OTG-LOT-00035,OTG-RAM-006,Dallas DC,720,2025-10-05,2026-07-02,18.9
OTG-LOT-00036,OTG-RAM-007,Seattle DC,480,2026-02-18,2026-11-15,22.39
OTG-LOT-00037,OTG-RAM-007,LA DC,1200,2026-04-20,2027-01-15,16.76
OTG-LOT-00038,OTG-RAM-007,Dallas DC,1440,2026-03-02,2026-11-27,22.73
OTG-LOT-00039,OTG-RAM-007,LA DC,720,2026-02-20,2026-11-17,15.21
OTG-LOT-00040,OTG-RAM-007,LA DC,720,2025-10-09,2026-07-06,18.91
OTG-LOT-00041,OTG-RAM-008,LA DC,600,2026-03-23,2026-12-18,16.23
OTG-LOT-00042,OTG-RAM-008,LA DC,720,2026-05-10,2027-02-04,16.93
OTG-LOT-00043,OTG-RAM-008,Seattle DC,600,2026-04-12,2027-01-07,17.14
OTG-LOT-00044,OTG-RAM-008,LA DC,1440,2026-02-18,2026-11-15,16.46
OTG-LOT-00045,OTG-RAM-008,Dallas DC,1200,2026-04-07,2027-01-02,17.35
OTG-LOT-00046,OTG-RAM-009,Seattle DC,1200,2026-03-31,2026-12-26,15.43
OTG-LOT-00047,OTG-RAM-009,LA DC,960,2025-11-04,2026-08-01,16.83
OTG-LOT-00048,OTG-RAM-009,LA DC,960,2026-05-08,2027-02-02,15.86
OTG-LOT-00049,OTG-RAM-009,Seattle DC,480,2026-02-05,2026-11-02,21.47
OTG-LOT-00050,OTG-RAM-009,LA DC,1440,2026-05-08,2027-02-02,15.2
OTG-LOT-00051,OTG-RAM-010,Seattle DC,1200,2026-04-23,2027-01-18,18.44
OTG-LOT-00052,OTG-RAM-010,LA DC,1440,2025-12-05,2026-09-01,14.62
OTG-LOT-00053,OTG-RAM-010,LA DC,1200,2026-03-05,2026-11-30,18.88
OTG-LOT-00054,OTG-RAM-010,Seattle DC,600,2025-12-09,2026-09-05,16.78
OTG-LOT-00055,OTG-RAM-010,Seattle DC,360,2026-05-01,2027-01-26,21.14
OTG-LOT-00056,OTG-RAM-011,Seattle DC,720,2026-01-20,2026-10-17,18.84
OTG-LOT-00057,OTG-RAM-011,Seattle DC,960,2025-12-05,2026-09-01,15.86
OTG-LOT-00058,OTG-RAM-011,Seattle DC,720,2025-09-30,2026-06-27,16.07
OTG-LOT-00059,OTG-RAM-011,LA DC,480,2025-11-30,2026-08-27,21.19
OTG-LOT-00060,OTG-RAM-011,Seattle DC,720,2026-01-15,2026-10-12,20.06
OTG-LOT-00061,OTG-RAM-012,NJ DC,1200,2025-10-12,2026-07-09,22.01
OTG-LOT-00062,OTG-RAM-012,Seattle DC,480,2025-10-12,2026-07-09,16.07
OTG-LOT-00063,OTG-RAM-012,LA DC,1200,2026-04-27,2027-01-22,22.78
OTG-LOT-00064,OTG-RAM-012,LA DC,480,2026-01-30,2026-10-27,19.1
OTG-LOT-00065,OTG-RAM-012,Dallas DC,360,2025-11-05,2026-08-02,21.33
OTG-LOT-00066,OTG-RAM-013,LA DC,480,2025-10-16,2026-07-13,20.32
OTG-LOT-00067,OTG-RAM-013,LA DC,720,2026-02-12,2026-11-09,14.58
OTG-LOT-00068,OTG-RAM-013,Seattle DC,1440,2026-01-26,2026-10-23,21.88
OTG-LOT-00069,OTG-RAM-013,LA DC,1200,2026-04-09,2027-01-04,22.16
OTG-LOT-00070,OTG-RAM-013,Seattle DC,600,2026-02-28,2026-11-25,18.4
OTG-LOT-00071,OTG-RAM-014,LA DC,720,2026-02-06,2026-10-04,14.29
OTG-LOT-00072,OTG-RAM-014,Seattle DC,480,2026-03-27,2026-11-22,18.11
OTG-LOT-00073,OTG-RAM-014,LA DC,960,2026-03-11,2026-11-06,14.96
OTG-LOT-00074,OTG-RAM-014,Seattle DC,720,2026-04-12,2026-12-08,20.19
OTG-LOT-00075,OTG-RAM-014,Seattle DC,720,2026-02-14,2026-10-12,18.61
OTG-LOT-00076,OTG-RAM-015,LA DC,960,2026-02-02,2026-09-30,20.93
OTG-LOT-00077,OTG-RAM-015,Seattle DC,600,2026-02-05,2026-10-03,16.33
OTG-LOT-00078,OTG-RAM-015,Seattle DC,720,2026-04-11,2026-12-07,18.85
OTG-LOT-00079,OTG-RAM-015,LA DC,600,2025-11-10,2026-07-08,19.31
OTG-LOT-00080,OTG-RAM-015,LA DC,960,2026-04-12,2026-12-08,18.22
OTG-LOT-00081,OTG-RAM-016,LA DC,600,2026-04-04,2026-11-30,19.17
OTG-LOT-00082,OTG-RAM-016,LA DC,1200,2025-12-17,2026-08-14,15.14
OTG-LOT-00083,OTG-RAM-016,LA DC,720,2026-03-14,2026-11-09,16.56
OTG-LOT-00084,OTG-RAM-016,Seattle DC,360,2026-04-06,2026-12-02,19.29
OTG-LOT-00085,OTG-RAM-016,Dallas DC,600,2026-03-09,2026-11-04,14.53
OTG-LOT-00086,OTG-CUR-001,NJ DC,480,2026-04-01,2027-04-01,28.65
OTG-LOT-00087,OTG-CUR-001,Seattle DC,600,2025-11-02,2026-11-02,20.6
OTG-LOT-00088,OTG-CUR-001,Seattle DC,360,2025-11-14,2026-11-14,32.92
OTG-LOT-00089,OTG-CUR-001,NJ DC,1440,2025-11-27,2026-11-27,33.3
OTG-LOT-00090,OTG-CUR-001,LA DC,720,2025-11-14,2026-11-14,29.55
OTG-LOT-00091,OTG-CUR-002,NJ DC,960,2025-09-19,2026-09-19,29.13
OTG-LOT-00092,OTG-CUR-002,NJ DC,600,2025-08-12,2026-08-12,20.42
OTG-LOT-00093,OTG-CUR-002,Dallas DC,1440,2025-11-02,2026-11-02,30.13
OTG-LOT-00094,OTG-CUR-002,Dallas DC,720,2026-04-17,2027-04-17,24.8
OTG-LOT-00095,OTG-CUR-002,Seattle DC,960,2026-02-15,2027-02-15,33.17
OTG-LOT-00096,OTG-CUR-003,NJ DC,1440,2026-04-21,2027-04-21,31.77
OTG-LOT-00097,OTG-CUR-003,LA DC,720,2025-10-28,2026-10-28,30.98
OTG-LOT-00098,OTG-CUR-003,Seattle DC,1200,2025-12-17,2026-12-17,23.35
OTG-LOT-00099,OTG-CUR-003,LA DC,720,2025-10-04,2026-10-04,32.31
OTG-LOT-00100,OTG-CUR-003,Dallas DC,600,2025-10-12,2026-10-12,19.35
OTG-LOT-00101,OTG-CUR-004,Dallas DC,960,2026-05-01,2027-05-01,22.15
OTG-LOT-00102,OTG-CUR-004,Dallas DC,480,2025-09-01,2026-09-01,33.09
OTG-LOT-00103,OTG-CUR-004,LA DC,1200,2025-12-29,2026-12-29,29.22
OTG-LOT-00104,OTG-CUR-004,Seattle DC,480,2026-04-25,2027-04-25,29.68
OTG-LOT-00105,OTG-CUR-004,Dallas DC,360,2025-11-03,2026-11-03,20.08
OTG-LOT-00106,OTG-CUR-005,NJ DC,1440,2025-09-30,2027-03-24,26.38
OTG-LOT-00107,OTG-CUR-005,Dallas DC,960,2025-08-22,2027-02-13,24.38
OTG-LOT-00108,OTG-CUR-005,Seattle DC,600,2026-04-20,2027-10-12,26.95
OTG-LOT-00109,OTG-CUR-005,NJ DC,720,2026-01-05,2027-06-29,30.13
OTG-LOT-00110,OTG-CUR-005,Seattle DC,720,2025-08-17,2027-02-08,33.14
OTG-LOT-00111,OTG-CUR-006,LA DC,720,2025-03-01,2026-08-23,26.82
OTG-LOT-00112,OTG-CUR-006,NJ DC,1200,2025-03-20,2026-09-11,29.92
OTG-LOT-00113,OTG-CUR-006,LA DC,1440,2025-08-08,2027-01-30,25.23
OTG-LOT-00114,OTG-CUR-006,LA DC,360,2026-01-20,2027-07-14,33.63
OTG-LOT-00115,OTG-CUR-006,Seattle DC,960,2026-05-09,2027-10-31,28.91
OTG-LOT-00116,OTG-CUR-007,LA DC,720,2025-11-24,2027-05-18,21.5
OTG-LOT-00117,OTG-CUR-007,LA DC,600,2026-04-29,2027-10-21,29.35
OTG-LOT-00118,OTG-CUR-007,NJ DC,480,2025-10-03,2027-03-27,23.21
OTG-LOT-00119,OTG-CUR-007,LA DC,720,2026-01-07,2027-07-01,23.27
OTG-LOT-00120,OTG-CUR-007,LA DC,720,2025-02-07,2026-08-01,28.07
OTG-LOT-00121,OTG-CUR-008,Dallas DC,480,2026-05-09,2027-10-31,22.43
OTG-LOT-00122,OTG-CUR-008,Seattle DC,360,2025-07-22,2027-01-13,27.68
OTG-LOT-00123,OTG-CUR-008,Dallas DC,480,2025-11-15,2027-05-09,19.08
OTG-LOT-00124,OTG-CUR-008,Dallas DC,960,2025-12-09,2027-06-02,29.55
OTG-LOT-00125,OTG-CUR-008,NJ DC,1200,2025-03-14,2026-09-05,24.35
OTG-LOT-00126,OTG-CUR-009,Dallas DC,960,2026-04-22,2027-04-22,31.8
OTG-LOT-00127,OTG-CUR-009,NJ DC,600,2025-12-30,2026-12-30,22.14
OTG-LOT-00128,OTG-CUR-009,Seattle DC,480,2025-12-19,2026-12-19,31.46
OTG-LOT-00129,OTG-CUR-009,Seattle DC,600,2025-08-06,2026-08-06,23.46
OTG-LOT-00130,OTG-CUR-009,Seattle DC,720,2026-04-12,2027-04-12,18.17
OTG-LOT-00131,OTG-CUR-010,LA DC,720,2026-02-22,2027-02-22,25.11
OTG-LOT-00132,OTG-CUR-010,LA DC,600,2026-01-23,2027-01-23,28.08
OTG-LOT-00133,OTG-CUR-010,NJ DC,1200,2026-02-11,2027-02-11,22.77
OTG-LOT-00134,OTG-CUR-010,NJ DC,720,2025-08-18,2026-08-18,27.8
OTG-LOT-00135,OTG-CUR-010,Dallas DC,480,2026-01-15,2027-01-15,24.57
OTG-LOT-00136,OTG-CUR-011,NJ DC,1200,2026-02-25,2027-02-25,21.19
OTG-LOT-00137,OTG-CUR-011,Seattle DC,1200,2025-10-30,2026-10-30,29.08
OTG-LOT-00138,OTG-CUR-011,NJ DC,1440,2026-04-01,2027-04-01,32.73
OTG-LOT-00139,OTG-CUR-011,Seattle DC,720,2025-08-27,2026-08-27,22.83
OTG-LOT-00140,OTG-CUR-011,LA DC,360,2025-10-31,2026-10-31,28.35
OTG-LOT-00141,OTG-CUR-012,Seattle DC,720,2025-12-27,2027-06-20,27.59
OTG-LOT-00142,OTG-CUR-012,NJ DC,1200,2025-06-19,2026-12-11,27.24
OTG-LOT-00143,OTG-CUR-012,NJ DC,600,2025-12-19,2027-06-12,32.11
OTG-LOT-00144,OTG-CUR-012,Seattle DC,1200,2026-03-16,2027-09-07,21.68
OTG-LOT-00145,OTG-CUR-012,NJ DC,1440,2026-05-09,2027-10-31,33.33
OTG-LOT-00146,OTG-RIC-001,LA DC,360,2026-04-15,2026-12-11,21.97
OTG-LOT-00147,OTG-RIC-001,Seattle DC,960,2026-03-07,2026-11-02,25.43
OTG-LOT-00148,OTG-RIC-001,NJ DC,960,2026-04-24,2026-12-20,33.5
OTG-LOT-00149,OTG-RIC-001,Seattle DC,960,2026-03-05,2026-10-31,27.42
OTG-LOT-00150,OTG-RIC-001,Seattle DC,960,2026-03-08,2026-11-03,35.84
OTG-LOT-00151,OTG-RIC-002,Seattle DC,360,2026-02-23,2026-10-21,29.95
OTG-LOT-00152,OTG-RIC-002,Dallas DC,1440,2025-11-06,2026-07-04,36.85
OTG-LOT-00153,OTG-RIC-002,Seattle DC,960,2026-04-30,2026-12-26,32.33
OTG-LOT-00154,OTG-RIC-002,LA DC,720,2026-04-11,2026-12-07,29.24
OTG-LOT-00155,OTG-RIC-002,LA DC,960,2026-02-05,2026-10-03,32.29
OTG-LOT-00156,OTG-RIC-003,NJ DC,960,2026-04-16,2026-12-12,32.06
OTG-LOT-00157,OTG-RIC-003,Seattle DC,600,2026-04-02,2026-11-28,36.87
OTG-LOT-00158,OTG-RIC-003,NJ DC,360,2026-01-06,2026-09-03,30.61
OTG-LOT-00159,OTG-RIC-003,LA DC,720,2026-04-09,2026-12-05,33.83
OTG-LOT-00160,OTG-RIC-003,LA DC,1200,2026-02-09,2026-10-07,22.82
OTG-LOT-00161,OTG-RIC-004,Seattle DC,1200,2026-02-22,2026-10-20,32.23
OTG-LOT-00162,OTG-RIC-004,LA DC,360,2026-02-16,2026-10-14,35.58
OTG-LOT-00163,OTG-RIC-004,Seattle DC,720,2026-02-09,2026-10-07,28.71
OTG-LOT-00164,OTG-RIC-004,LA DC,480,2026-03-29,2026-11-24,23.33
OTG-LOT-00165,OTG-RIC-004,LA DC,600,2026-02-01,2026-09-29,32.06
OTG-LOT-00166,OTG-RIC-005,Seattle DC,360,2026-02-25,2026-10-23,31.37
OTG-LOT-00167,OTG-RIC-005,Dallas DC,480,2026-03-20,2026-11-15,37.93
OTG-LOT-00168,OTG-RIC-005,Seattle DC,1200,2026-04-20,2026-12-16,26.71
OTG-LOT-00169,OTG-RIC-005,LA DC,1440,2025-12-24,2026-08-21,26.88
OTG-LOT-00170,OTG-RIC-005,LA DC,360,2025-10-29,2026-06-26,29.55
OTG-LOT-00171,OTG-RIC-006,LA DC,1200,2025-10-24,2026-06-21,37.97
OTG-LOT-00172,OTG-RIC-006,LA DC,1440,2026-04-02,2026-11-28,25.65
OTG-LOT-00173,OTG-RIC-006,LA DC,1440,2025-11-12,2026-07-10,21.35
OTG-LOT-00174,OTG-RIC-006,NJ DC,960,2026-03-10,2026-11-05,35.75
OTG-LOT-00175,OTG-RIC-006,Dallas DC,960,2026-02-13,2026-10-11,23.21
OTG-LOT-00176,OTG-RIC-007,LA DC,1440,2026-05-08,2027-01-03,26.05
OTG-LOT-00177,OTG-RIC-007,LA DC,1440,2026-02-12,2026-10-10,32.8
OTG-LOT-00178,OTG-RIC-007,Seattle DC,360,2026-04-14,2026-12-10,25.18
OTG-LOT-00179,OTG-RIC-007,LA DC,960,2025-10-28,2026-06-25,29.47
OTG-LOT-00180,OTG-RIC-007,LA DC,720,2026-05-07,2027-01-02,21.7
OTG-LOT-00181,OTG-RIC-008,LA DC,600,2026-02-02,2026-09-30,24.24
OTG-LOT-00182,OTG-RIC-008,Seattle DC,600,2026-03-26,2026-11-21,31.27
OTG-LOT-00183,OTG-RIC-008,Seattle DC,720,2026-05-08,2027-01-03,35.05
OTG-LOT-00184,OTG-RIC-008,Seattle DC,960,2026-04-19,2026-12-15,32.71
OTG-LOT-00185,OTG-RIC-008,Seattle DC,600,2026-03-02,2026-10-28,19.36
OTG-LOT-00186,OTG-RIC-009,Seattle DC,600,2026-02-16,2026-10-14,33.38
OTG-LOT-00187,OTG-RIC-009,Seattle DC,960,2026-02-25,2026-10-23,20.76
OTG-LOT-00188,OTG-RIC-009,Seattle DC,1440,2026-02-04,2026-10-02,25.94
OTG-LOT-00189,OTG-RIC-009,LA DC,480,2026-05-01,2026-12-27,32.85
OTG-LOT-00190,OTG-RIC-009,Seattle DC,1440,2026-04-14,2026-12-10,31.44
OTG-LOT-00191,OTG-RIC-010,LA DC,240,2026-02-20,2027-02-20,27.8
OTG-LOT-00192,OTG-RIC-010,LA DC,360,2025-11-06,2026-11-06,31.93
OTG-LOT-00193,OTG-RIC-010,Dallas DC,360,2026-03-30,2027-03-30,28.52
OTG-LOT-00194,OTG-RIC-010,Dallas DC,480,2025-10-27,2026-10-27,38.97
OTG-LOT-00195,OTG-RIC-010,LA DC,480,2026-04-13,2027-04-13,33.62
OTG-LOT-00196,OTG-RIC-011,Dallas DC,240,2025-07-03,2026-07-03,30.89
OTG-LOT-00197,OTG-RIC-011,Seattle DC,360,2025-09-15,2026-09-15,28.69
OTG-LOT-00198,OTG-RIC-011,NJ DC,96,2025-09-15,2026-09-15,23.62
OTG-LOT-00199,OTG-RIC-011,NJ DC,96,2026-01-07,2027-01-07,38.29
OTG-LOT-00200,OTG-RIC-011,LA DC,480,2025-12-08,2026-12-08,41.04
OTG-LOT-00201,OTG-RIC-012,Seattle DC,48,2025-06-23,2026-06-23,22.15
OTG-LOT-00202,OTG-RIC-012,Dallas DC,480,2025-06-23,2026-06-23,40.13
OTG-LOT-00203,OTG-RIC-012,Seattle DC,360,2025-12-11,2026-12-11,37.92
OTG-LOT-00204,OTG-RIC-012,Seattle DC,240,2026-04-13,2027-04-13,38.11
OTG-LOT-00205,OTG-RIC-012,Seattle DC,240,2026-03-12,2027-03-12,40.32
OTG-LOT-00206,OTG-SAU-001,Seattle DC,960,2025-12-11,2027-06-04,28.53
OTG-LOT-00207,OTG-SAU-001,LA DC,240,2026-04-19,2027-10-11,26.07
OTG-LOT-00208,OTG-SAU-001,Dallas DC,360,2025-09-19,2027-03-13,21.94
OTG-LOT-00209,OTG-SAU-001,NJ DC,960,2025-10-13,2027-04-06,29.28
OTG-LOT-00210,OTG-SAU-001,Seattle DC,240,2026-02-05,2027-07-30,23.26
OTG-LOT-00211,OTG-SAU-002,NJ DC,480,2026-04-14,2027-04-14,24.04
OTG-LOT-00212,OTG-SAU-002,Seattle DC,360,2025-10-28,2026-10-28,27.43
OTG-LOT-00213,OTG-SAU-002,LA DC,720,2026-01-22,2027-01-22,30.59
OTG-LOT-00214,OTG-SAU-002,LA DC,144,2025-08-18,2026-08-18,30.03
OTG-LOT-00215,OTG-SAU-002,Seattle DC,144,2025-10-19,2026-10-19,29.38
OTG-LOT-00216,OTG-SAU-003,Seattle DC,240,2025-09-14,2026-09-14,26.52
OTG-LOT-00217,OTG-SAU-003,NJ DC,144,2026-02-10,2027-02-10,16.32
OTG-LOT-00218,OTG-SAU-003,NJ DC,960,2025-07-10,2026-07-10,21.82
OTG-LOT-00219,OTG-SAU-003,Dallas DC,360,2026-05-11,2027-05-11,21.86
OTG-LOT-00220,OTG-SAU-003,NJ DC,144,2026-03-05,2027-03-05,16.11
OTG-LOT-00221,OTG-SAU-004,NJ DC,480,2026-03-22,2027-09-13,26.19
OTG-LOT-00222,OTG-SAU-004,LA DC,480,2026-05-11,2027-11-02,28.24
OTG-LOT-00223,OTG-SAU-004,NJ DC,360,2026-03-19,2027-09-10,27.31
OTG-LOT-00224,OTG-SAU-004,LA DC,144,2026-05-06,2027-10-28,18.55
OTG-LOT-00225,OTG-SAU-004,NJ DC,360,2026-02-14,2027-08-08,18.4
OTG-LOT-00226,OTG-SAU-005,Dallas DC,360,2025-09-14,2027-03-08,27.87
OTG-LOT-00227,OTG-SAU-005,Seattle DC,360,2025-12-19,2027-06-12,24.65
OTG-LOT-00228,OTG-SAU-005,Dallas DC,144,2025-03-02,2026-08-24,26.92
OTG-LOT-00229,OTG-SAU-005,LA DC,144,2025-06-16,2026-12-08,27.54
OTG-LOT-00230,OTG-SAU-005,Dallas DC,240,2026-04-07,2027-09-29,17.93
OTG-LOT-00231,OTG-SAU-006,Dallas DC,720,2026-01-19,2027-01-19,22.31
OTG-LOT-00232,OTG-SAU-006,NJ DC,240,2025-10-28,2026-10-28,26.47
OTG-LOT-00233,OTG-SAU-006,Seattle DC,144,2025-07-15,2026-07-15,17.43
OTG-LOT-00234,OTG-SAU-006,Dallas DC,720,2026-05-04,2027-05-04,27.06
OTG-LOT-00235,OTG-SAU-006,NJ DC,480,2026-02-18,2027-02-18,25.07
OTG-LOT-00236,OTG-SAU-007,NJ DC,144,2026-03-22,2027-03-22,22.54
OTG-LOT-00237,OTG-SAU-007,Dallas DC,960,2026-02-05,2027-02-05,21.22
OTG-LOT-00238,OTG-SAU-007,Seattle DC,360,2025-09-18,2026-09-18,23.06
OTG-LOT-00239,OTG-SAU-007,LA DC,960,2026-01-12,2027-01-12,27.14
OTG-LOT-00240,OTG-SAU-007,LA DC,720,2026-03-15,2027-03-15,19.17
OTG-LOT-00241,OTG-SAU-008,LA DC,144,2025-11-08,2026-11-08,23.15
OTG-LOT-00242,OTG-SAU-008,NJ DC,144,2026-02-15,2027-02-15,16.96
OTG-LOT-00243,OTG-SAU-008,NJ DC,720,2026-04-19,2027-04-19,28.81
OTG-LOT-00244,OTG-SAU-008,Seattle DC,480,2025-12-21,2026-12-21,17.03
OTG-LOT-00245,OTG-SAU-008,LA DC,720,2026-02-04,2027-02-04,19.27
OTG-LOT-00246,OTG-SAU-009,NJ DC,480,2026-02-25,2027-08-19,27.52
OTG-LOT-00247,OTG-SAU-009,NJ DC,144,2026-01-25,2027-07-19,20.42
OTG-LOT-00248,OTG-SAU-009,Dallas DC,240,2025-02-12,2026-08-06,23.45
OTG-LOT-00249,OTG-SAU-009,Dallas DC,144,2025-03-15,2026-09-06,24.49
OTG-LOT-00250,OTG-SAU-009,LA DC,360,2025-09-08,2027-03-02,16.7
OTG-LOT-00251,OTG-SAU-010,Dallas DC,144,2025-10-19,2027-04-12,25.47
OTG-LOT-00252,OTG-SAU-010,LA DC,960,2026-03-16,2027-09-07,29.81
OTG-LOT-00253,OTG-SAU-010,NJ DC,240,2025-03-15,2026-09-06,18.05
OTG-LOT-00254,OTG-SAU-010,Seattle DC,240,2026-01-22,2027-07-16,22.66
OTG-LOT-00255,OTG-SAU-010,Seattle DC,480,2025-10-29,2027-04-22,20.0
OTG-LOT-00256,OTG-SAU-011,Seattle DC,144,2026-03-13,2027-03-13,20.75
OTG-LOT-00257,OTG-SAU-011,Seattle DC,144,2025-12-08,2026-12-08,29.66
OTG-LOT-00258,OTG-SAU-011,Dallas DC,360,2025-12-25,2026-12-25,17.48
OTG-LOT-00259,OTG-SAU-011,Dallas DC,480,2026-03-06,2027-03-06,16.22
OTG-LOT-00260,OTG-SAU-011,LA DC,144,2025-12-27,2026-12-27,18.96
OTG-LOT-00261,OTG-SAU-012,NJ DC,720,2026-02-25,2027-08-19,17.62
OTG-LOT-00262,OTG-SAU-012,LA DC,480,2025-08-03,2027-01-25,16.5
OTG-LOT-00263,OTG-SAU-012,Dallas DC,480,2025-10-05,2027-03-29,19.48
OTG-LOT-00264,OTG-SAU-012,LA DC,720,2026-04-11,2027-10-03,24.82
OTG-LOT-00265,OTG-SAU-012,Seattle DC,480,2026-03-29,2027-09-20,19.26
OTG-LOT-00266,OTG-SAU-013,Seattle DC,720,2026-02-19,2027-08-13,17.65
OTG-LOT-00267,OTG-SAU-013,LA DC,960,2025-12-14,2027-06-07,16.33
OTG-LOT-00268,OTG-SAU-013,LA DC,960,2025-10-31,2027-04-24,30.35
OTG-LOT-00269,OTG-SAU-013,NJ DC,480,2025-12-21,2027-06-14,18.16
OTG-LOT-00270,OTG-SAU-013,Dallas DC,720,2026-05-05,2027-10-27,21.41
OTG-LOT-00271,OTG-SAU-014,NJ DC,144,2025-11-12,2027-05-06,24.69
OTG-LOT-00272,OTG-SAU-014,NJ DC,240,2026-01-18,2027-07-12,25.8
OTG-LOT-00273,OTG-SAU-014,LA DC,240,2025-02-20,2026-08-14,23.85
OTG-LOT-00274,OTG-SAU-014,LA DC,720,2026-02-03,2027-07-28,21.83
OTG-LOT-00275,OTG-SAU-014,Dallas DC,960,2026-02-02,2027-07-27,20.79
OTG-LOT-00276,OTG-SAU-015,LA DC,360,2025-12-10,2027-06-03,26.41
OTG-LOT-00277,OTG-SAU-015,NJ DC,144,2025-03-05,2026-08-27,23.38
OTG-LOT-00278,OTG-SAU-015,LA DC,144,2026-03-26,2027-09-17,29.66
OTG-LOT-00279,OTG-SAU-015,NJ DC,960,2026-03-31,2027-09-22,25.81
OTG-LOT-00280,OTG-SAU-015,Seattle DC,480,2026-03-04,2027-08-26,23.02
OTG-LOT-00281,OTG-SAU-016,Dallas DC,960,2025-01-22,2026-07-16,16.73
OTG-LOT-00282,OTG-SAU-016,NJ DC,240,2025-09-21,2027-03-15,19.01
OTG-LOT-00283,OTG-SAU-016,NJ DC,960,2026-03-10,2027-09-01,23.59
OTG-LOT-00284,OTG-SAU-016,NJ DC,960,2026-02-10,2027-08-04,27.82
OTG-LOT-00285,OTG-SAU-016,NJ DC,720,2026-04-24,2027-10-16,30.55
OTG-LOT-00286,OTG-OIL-001,NJ DC,600,2026-01-25,2027-07-19,39.72
OTG-LOT-00287,OTG-OIL-001,Seattle DC,360,2025-10-22,2027-04-15,25.53
OTG-LOT-00288,OTG-OIL-001,Dallas DC,360,2026-04-04,2027-09-26,44.55
OTG-LOT-00289,OTG-OIL-001,NJ DC,480,2025-07-14,2027-01-05,27.21
OTG-LOT-00290,OTG-OIL-001,NJ DC,360,2025-09-14,2027-03-08,56.34
OTG-LOT-00291,OTG-OIL-002,LA DC,360,2025-07-12,2026-07-12,28.38
OTG-LOT-00292,OTG-OIL-002,Seattle DC,720,2025-12-04,2026-12-04,43.13
OTG-LOT-00293,OTG-OIL-002,Seattle DC,600,2025-10-01,2026-10-01,48.14
